call_transcript,label
I have a billing issue with my credit card statement.,0
I'd like to close my credit card account.,0
My credit card is not working at international stores.,0
"My debit card was stolen, I need a replacement.",1
"I'd like to request a reissue of my debit card, please.",1
How do I check my credit card reward points?,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can I convert my credit card dues to EMI?,0
My debit card expired. How do I get a new one?,1
I want to apply for a new credit card.,0
I want to apply for a new credit card.,0
How do I update my address for the credit card?,0
"My debit card was stolen, I need a replacement.",1
I want to apply for a new credit card.,0
Can you send me a replacement debit card? The chip is not reading.,1
"I need a new debit card, mine isn't working properly.",1
There's an unauthorized transaction on my credit card.,0
I'd like to close my credit card account.,0
I have a billing issue with my credit card statement.,0
"I need a new debit card, mine isn't working properly.",1
"I'd like to request a reissue of my debit card, please.",1
I have a billing issue with my credit card statement.,0
Can you send me a replacement debit card? The chip is not reading.,1
I need help activating my new credit card.,0
"I'd like to request a reissue of my debit card, please.",1
"My debit card was stolen, I need a replacement.",1
Can I convert my credit card dues to EMI?,0
"My debit card was stolen, I need a replacement.",1
I want to reissue my debit card. It’s cracked.,1
I need help activating my new credit card.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
I want to reissue my debit card. It’s cracked.,1
Can you increase the limit on my credit card?,0
"My debit card was stolen, I need a replacement.",1
I want to apply for a new credit card.,0
I need to replace my debit card as it's been demagnetized.,1
Can I convert my credit card dues to EMI?,0
How do I check my credit card reward points?,0
Can you help me reissue my debit card? It got damaged.,1
I have a billing issue with my credit card statement.,0
I want to apply for a new credit card.,0
Can you increase the limit on my credit card?,0
There's an unauthorized transaction on my credit card.,0
How do I update my address for the credit card?,0
My debit card expired. How do I get a new one?,1
I need to replace my debit card as it's been demagnetized.,1
Can you send me a replacement debit card? The chip is not reading.,1
"Hi, I lost my debit card and need a replacement.",1
Can you increase the limit on my credit card?,0
Can I convert my credit card dues to EMI?,0
I need to replace my debit card as it's been demagnetized.,1
Can you send me a replacement debit card? The chip is not reading.,1
"Hi, I lost my debit card and need a replacement.",1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
"Hi, I lost my debit card and need a replacement.",1
Can you send me a replacement debit card? The chip is not reading.,1
My credit card is not working at international stores.,0
I need help activating my new credit card.,0
My credit card is not working at international stores.,0
"I'd like to request a reissue of my debit card, please.",1
"My debit card was stolen, I need a replacement.",1
There's an unauthorized transaction on my credit card.,0
Can you help me reissue my debit card? It got damaged.,1
Can you increase the limit on my credit card?,0
"My debit card was stolen, I need a replacement.",1
"My debit card was stolen, I need a replacement.",1
"Hi, I lost my debit card and need a replacement.",1
I need help activating my new credit card.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
Can you send me a replacement debit card? The chip is not reading.,1
My credit card is not working at international stores.,0
"I need a new debit card, mine isn't working properly.",1
Can you send me a replacement debit card? The chip is not reading.,1
Can I convert my credit card dues to EMI?,0
Can I convert my credit card dues to EMI?,0
"Hi, I lost my debit card and need a replacement.",1
My debit card expired. How do I get a new one?,1
My credit card is not working at international stores.,0
"I'd like to request a reissue of my debit card, please.",1
Can you send me a replacement debit card? The chip is not reading.,1
My credit card is not working at international stores.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you increase the limit on my credit card?,0
Can you increase the limit on my credit card?,0
Can you send me a replacement debit card? The chip is not reading.,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
My credit card is not working at international stores.,0
"Hi, I lost my debit card and need a replacement.",1
My credit card is not working at international stores.,0
I'd like to close my credit card account.,0
How do I update my address for the credit card?,0
I need help activating my new credit card.,0
I need to replace my debit card as it's been demagnetized.,1
I want to apply for a new credit card.,0
I need help activating my new credit card.,0
I'd like to close my credit card account.,0
"My debit card was stolen, I need a replacement.",1
I have a billing issue with my credit card statement.,0
I need help activating my new credit card.,0
"My debit card was stolen, I need a replacement.",1
There's an unauthorized transaction on my credit card.,0
Can you send me a replacement debit card? The chip is not reading.,1
Can you increase the limit on my credit card?,0
My credit card is not working at international stores.,0
I want to apply for a new credit card.,0
My debit card expired. How do I get a new one?,1
"I'd like to request a reissue of my debit card, please.",1
How do I update my address for the credit card?,0
"I need a new debit card, mine isn't working properly.",1
How do I update my address for the credit card?,0
I want to reissue my debit card. It’s cracked.,1
My credit card is not working at international stores.,0
Can you help me reissue my debit card? It got damaged.,1
I have a billing issue with my credit card statement.,0
Can you help me reissue my debit card? It got damaged.,1
"My debit card was stolen, I need a replacement.",1
"My debit card was stolen, I need a replacement.",1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
I want to reissue my debit card. It’s cracked.,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
How do I update my address for the credit card?,0
Can I convert my credit card dues to EMI?,0
My credit card is not working at international stores.,0
"Hi, I lost my debit card and need a replacement.",1
I'd like to close my credit card account.,0
"Hi, I lost my debit card and need a replacement.",1
I need help activating my new credit card.,0
"My debit card was stolen, I need a replacement.",1
Can you send me a replacement debit card? The chip is not reading.,1
"I'd like to request a reissue of my debit card, please.",1
I need to replace my debit card as it's been demagnetized.,1
Can you send me a replacement debit card? The chip is not reading.,1
"Hi, I lost my debit card and need a replacement.",1
"I'd like to request a reissue of my debit card, please.",1
My credit card is not working at international stores.,0
My credit card is not working at international stores.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
"I need a new debit card, mine isn't working properly.",1
Can I convert my credit card dues to EMI?,0
"I need a new debit card, mine isn't working properly.",1
Can you help me reissue my debit card? It got damaged.,1
"Hi, I lost my debit card and need a replacement.",1
"I need a new debit card, mine isn't working properly.",1
Can you help me reissue my debit card? It got damaged.,1
I'd like to close my credit card account.,0
How do I update my address for the credit card?,0
Can I convert my credit card dues to EMI?,0
"My debit card was stolen, I need a replacement.",1
"My debit card was stolen, I need a replacement.",1
How do I check my credit card reward points?,0
Can you send me a replacement debit card? The chip is not reading.,1
I want to apply for a new credit card.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
"Hi, I lost my debit card and need a replacement.",1
"I'd like to request a reissue of my debit card, please.",1
Can you increase the limit on my credit card?,0
"My debit card was stolen, I need a replacement.",1
"My debit card was stolen, I need a replacement.",1
"Hi, I lost my debit card and need a replacement.",1
I'd like to close my credit card account.,0
My credit card is not working at international stores.,0
How do I check my credit card reward points?,0
I need to replace my debit card as it's been demagnetized.,1
"I need a new debit card, mine isn't working properly.",1
There's an unauthorized transaction on my credit card.,0
How do I update my address for the credit card?,0
There's an unauthorized transaction on my credit card.,0
My credit card is not working at international stores.,0
"I'd like to request a reissue of my debit card, please.",1
"I'd like to request a reissue of my debit card, please.",1
Can you help me reissue my debit card? It got damaged.,1
There's an unauthorized transaction on my credit card.,0
Can you increase the limit on my credit card?,0
I need help activating my new credit card.,0
Can you increase the limit on my credit card?,0
Can I convert my credit card dues to EMI?,0
"Hi, I lost my debit card and need a replacement.",1
"Hi, I lost my debit card and need a replacement.",1
My debit card expired. How do I get a new one?,1
I need help activating my new credit card.,0
Can I convert my credit card dues to EMI?,0
I need to replace my debit card as it's been demagnetized.,1
Can you increase the limit on my credit card?,0
There's an unauthorized transaction on my credit card.,0
I need help activating my new credit card.,0
My credit card is not working at international stores.,0
My debit card expired. How do I get a new one?,1
I need help activating my new credit card.,0
Can you help me reissue my debit card? It got damaged.,1
How do I check my credit card reward points?,0
Can you help me reissue my debit card? It got damaged.,1
Can you help me reissue my debit card? It got damaged.,1
I want to reissue my debit card. It’s cracked.,1
My debit card expired. How do I get a new one?,1
I want to reissue my debit card. It’s cracked.,1
I need help activating my new credit card.,0
I'd like to close my credit card account.,0
Can I convert my credit card dues to EMI?,0
I want to apply for a new credit card.,0
I want to reissue my debit card. It’s cracked.,1
I want to reissue my debit card. It’s cracked.,1
Can I convert my credit card dues to EMI?,0
Can you help me reissue my debit card? It got damaged.,1
How do I check my credit card reward points?,0
I want to apply for a new credit card.,0
"I need a new debit card, mine isn't working properly.",1
I'd like to close my credit card account.,0
I want to reissue my debit card. It’s cracked.,1
Can you help me reissue my debit card? It got damaged.,1
"I'd like to request a reissue of my debit card, please.",1
"My debit card was stolen, I need a replacement.",1
There's an unauthorized transaction on my credit card.,0
"My debit card was stolen, I need a replacement.",1
Can you send me a replacement debit card? The chip is not reading.,1
"My debit card was stolen, I need a replacement.",1
"My debit card was stolen, I need a replacement.",1
"I'd like to request a reissue of my debit card, please.",1
I need to replace my debit card as it's been demagnetized.,1
My debit card expired. How do I get a new one?,1
I'd like to close my credit card account.,0
I'd like to close my credit card account.,0
"My debit card was stolen, I need a replacement.",1
"I need a new debit card, mine isn't working properly.",1
"My debit card was stolen, I need a replacement.",1
"Hi, I lost my debit card and need a replacement.",1
"I'd like to request a reissue of my debit card, please.",1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you increase the limit on my credit card?,0
I have a billing issue with my credit card statement.,0
My credit card is not working at international stores.,0
Can you send me a replacement debit card? The chip is not reading.,1
How do I update my address for the credit card?,0
I'd like to close my credit card account.,0
I want to reissue my debit card. It’s cracked.,1
I need to replace my debit card as it's been demagnetized.,1
"My debit card was stolen, I need a replacement.",1
I want to reissue my debit card. It’s cracked.,1
"Hi, I lost my debit card and need a replacement.",1
I want to reissue my debit card. It’s cracked.,1
How do I check my credit card reward points?,0
I want to reissue my debit card. It’s cracked.,1
Can you increase the limit on my credit card?,0
"My debit card was stolen, I need a replacement.",1
My debit card expired. How do I get a new one?,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
I need help activating my new credit card.,0
"My debit card was stolen, I need a replacement.",1
I have a billing issue with my credit card statement.,0
I need help activating my new credit card.,0
Can you help me reissue my debit card? It got damaged.,1
There's an unauthorized transaction on my credit card.,0
Can you send me a replacement debit card? The chip is not reading.,1
How do I update my address for the credit card?,0
"My debit card was stolen, I need a replacement.",1
There's an unauthorized transaction on my credit card.,0
I'd like to close my credit card account.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
How do I check my credit card reward points?,0
I'd like to close my credit card account.,0
How do I check my credit card reward points?,0
I need help activating my new credit card.,0
I want to reissue my debit card. It’s cracked.,1
Can I convert my credit card dues to EMI?,0
Can you increase the limit on my credit card?,0
How do I check my credit card reward points?,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can I convert my credit card dues to EMI?,0
I want to apply for a new credit card.,0
I have a billing issue with my credit card statement.,0
Can you help me reissue my debit card? It got damaged.,1
I need help activating my new credit card.,0
How do I check my credit card reward points?,0
I'd like to close my credit card account.,0
I want to apply for a new credit card.,0
Can you help me reissue my debit card? It got damaged.,1
Can I convert my credit card dues to EMI?,0
Can you help me reissue my debit card? It got damaged.,1
Can you send me a replacement debit card? The chip is not reading.,1
I'd like to close my credit card account.,0
Can you help me reissue my debit card? It got damaged.,1
I need to replace my debit card as it's been demagnetized.,1
"My debit card was stolen, I need a replacement.",1
Can you increase the limit on my credit card?,0
How do I check my credit card reward points?,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
My credit card is not working at international stores.,0
"I'd like to request a reissue of my debit card, please.",1
I'd like to close my credit card account.,0
"I'd like to request a reissue of my debit card, please.",1
Can you send me a replacement debit card? The chip is not reading.,1
Can you increase the limit on my credit card?,0
Can you help me reissue my debit card? It got damaged.,1
There's an unauthorized transaction on my credit card.,0
"I need a new debit card, mine isn't working properly.",1
I need to replace my debit card as it's been demagnetized.,1
I need help activating my new credit card.,0
How do I check my credit card reward points?,0
Can I convert my credit card dues to EMI?,0
Can I convert my credit card dues to EMI?,0
I'd like to close my credit card account.,0
I'd like to close my credit card account.,0
I'd like to close my credit card account.,0
How do I check my credit card reward points?,0
I need help activating my new credit card.,0
I want to apply for a new credit card.,0
I'd like to close my credit card account.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
How do I check my credit card reward points?,0
Can you help me reissue my debit card? It got damaged.,1
Can you send me a replacement debit card? The chip is not reading.,1
I need help activating my new credit card.,0
My credit card is not working at international stores.,0
How do I check my credit card reward points?,0
I have a billing issue with my credit card statement.,0
I'd like to close my credit card account.,0
I have a billing issue with my credit card statement.,0
Can I convert my credit card dues to EMI?,0
I have a billing issue with my credit card statement.,0
I need to replace my debit card as it's been demagnetized.,1
"My debit card was stolen, I need a replacement.",1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
I have a billing issue with my credit card statement.,0
My credit card is not working at international stores.,0
How do I update my address for the credit card?,0
My debit card expired. How do I get a new one?,1
How do I update my address for the credit card?,0
Can I convert my credit card dues to EMI?,0
Can you increase the limit on my credit card?,0
Can you help me reissue my debit card? It got damaged.,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
"I need a new debit card, mine isn't working properly.",1
I need to replace my debit card as it's been demagnetized.,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
"I need a new debit card, mine isn't working properly.",1
"My debit card was stolen, I need a replacement.",1
Can you help me reissue my debit card? It got damaged.,1
Can you send me a replacement debit card? The chip is not reading.,1
I want to apply for a new credit card.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
I'd like to close my credit card account.,0
"I'd like to request a reissue of my debit card, please.",1
How do I update my address for the credit card?,0
My debit card expired. How do I get a new one?,1
There's an unauthorized transaction on my credit card.,0
How do I update my address for the credit card?,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
My credit card is not working at international stores.,0
There's an unauthorized transaction on my credit card.,0
I want to apply for a new credit card.,0
I'd like to close my credit card account.,0
I want to apply for a new credit card.,0
"My debit card was stolen, I need a replacement.",1
Can you help me reissue my debit card? It got damaged.,1
"Hi, I lost my debit card and need a replacement.",1
My debit card expired. How do I get a new one?,1
How do I update my address for the credit card?,0
I need help activating my new credit card.,0
There's an unauthorized transaction on my credit card.,0
How do I check my credit card reward points?,0
"My debit card was stolen, I need a replacement.",1
My credit card is not working at international stores.,0
"I need a new debit card, mine isn't working properly.",1
Can you help me reissue my debit card? It got damaged.,1
How do I update my address for the credit card?,0
My debit card expired. How do I get a new one?,1
"I need a new debit card, mine isn't working properly.",1
How do I update my address for the credit card?,0
How do I check my credit card reward points?,0
I need to replace my debit card as it's been demagnetized.,1
There's an unauthorized transaction on my credit card.,0
Can you send me a replacement debit card? The chip is not reading.,1
I'd like to close my credit card account.,0
How do I check my credit card reward points?,0
I need help activating my new credit card.,0
My debit card expired. How do I get a new one?,1
I want to reissue my debit card. It’s cracked.,1
I want to reissue my debit card. It’s cracked.,1
"My debit card was stolen, I need a replacement.",1
"I need a new debit card, mine isn't working properly.",1
How do I update my address for the credit card?,0
"My debit card was stolen, I need a replacement.",1
I want to apply for a new credit card.,0
"My debit card was stolen, I need a replacement.",1
"Hi, I lost my debit card and need a replacement.",1
How do I check my credit card reward points?,0
Can you send me a replacement debit card? The chip is not reading.,1
There's an unauthorized transaction on my credit card.,0
Can you help me reissue my debit card? It got damaged.,1
I want to reissue my debit card. It’s cracked.,1
I want to apply for a new credit card.,0
I want to apply for a new credit card.,0
"Hi, I lost my debit card and need a replacement.",1
Can I convert my credit card dues to EMI?,0
Can you send me a replacement debit card? The chip is not reading.,1
"I'd like to request a reissue of my debit card, please.",1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can I convert my credit card dues to EMI?,0
How do I update my address for the credit card?,0
How do I check my credit card reward points?,0
How do I check my credit card reward points?,0
I want to apply for a new credit card.,0
"My debit card was stolen, I need a replacement.",1
Can you help me reissue my debit card? It got damaged.,1
Can I convert my credit card dues to EMI?,0
Can you send me a replacement debit card? The chip is not reading.,1
Can you increase the limit on my credit card?,0
"I'd like to request a reissue of my debit card, please.",1
I want to reissue my debit card. It’s cracked.,1
Can you help me reissue my debit card? It got damaged.,1
Can you increase the limit on my credit card?,0
Can you increase the limit on my credit card?,0
My debit card expired. How do I get a new one?,1
How do I check my credit card reward points?,0
My debit card expired. How do I get a new one?,1
How do I check my credit card reward points?,0
I need help activating my new credit card.,0
Can you help me reissue my debit card? It got damaged.,1
I need help activating my new credit card.,0
Can you help me reissue my debit card? It got damaged.,1
Can I convert my credit card dues to EMI?,0
How do I update my address for the credit card?,0
"I need a new debit card, mine isn't working properly.",1
How do I update my address for the credit card?,0
How do I check my credit card reward points?,0
I want to apply for a new credit card.,0
Can you send me a replacement debit card? The chip is not reading.,1
Can you help me reissue my debit card? It got damaged.,1
"I'd like to request a reissue of my debit card, please.",1
How do I check my credit card reward points?,0
I need to replace my debit card as it's been demagnetized.,1
Can you help me reissue my debit card? It got damaged.,1
Can you send me a replacement debit card? The chip is not reading.,1
I want to apply for a new credit card.,0
There's an unauthorized transaction on my credit card.,0
I need help activating my new credit card.,0
Can I convert my credit card dues to EMI?,0
How do I update my address for the credit card?,0
"I'd like to request a reissue of my debit card, please.",1
Can you increase the limit on my credit card?,0
I want to reissue my debit card. It’s cracked.,1
How do I update my address for the credit card?,0
Can you send me a replacement debit card? The chip is not reading.,1
Can I convert my credit card dues to EMI?,0
I want to apply for a new credit card.,0
"I'd like to request a reissue of my debit card, please.",1
Can you increase the limit on my credit card?,0
Can you help me reissue my debit card? It got damaged.,1
There's an unauthorized transaction on my credit card.,0
How do I check my credit card reward points?,0
Can I convert my credit card dues to EMI?,0
Can I convert my credit card dues to EMI?,0
I want to reissue my debit card. It’s cracked.,1
I'd like to close my credit card account.,0
Can you help me reissue my debit card? It got damaged.,1
I have a billing issue with my credit card statement.,0
My debit card expired. How do I get a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
"Hi, I lost my debit card and need a replacement.",1
I want to apply for a new credit card.,0
I have a billing issue with my credit card statement.,0
I need to replace my debit card as it's been demagnetized.,1
Can you help me reissue my debit card? It got damaged.,1
I want to apply for a new credit card.,0
"Hi, I lost my debit card and need a replacement.",1
"I'd like to request a reissue of my debit card, please.",1
Can you help me reissue my debit card? It got damaged.,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can I convert my credit card dues to EMI?,0
My debit card expired. How do I get a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
I need to replace my debit card as it's been demagnetized.,1
Can I convert my credit card dues to EMI?,0
I have a billing issue with my credit card statement.,0
I'd like to close my credit card account.,0
"I'd like to request a reissue of my debit card, please.",1
"Hi, I lost my debit card and need a replacement.",1
"I need a new debit card, mine isn't working properly.",1
I need help activating my new credit card.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
How do I check my credit card reward points?,0
"I'd like to request a reissue of my debit card, please.",1
"Hi, I lost my debit card and need a replacement.",1
Can you help me reissue my debit card? It got damaged.,1
I have a billing issue with my credit card statement.,0
I want to apply for a new credit card.,0
"My debit card was stolen, I need a replacement.",1
I need help activating my new credit card.,0
There's an unauthorized transaction on my credit card.,0
There's an unauthorized transaction on my credit card.,0
"I'd like to request a reissue of my debit card, please.",1
Can you increase the limit on my credit card?,0
I'd like to close my credit card account.,0
"Hi, I lost my debit card and need a replacement.",1
I need help activating my new credit card.,0
I'd like to close my credit card account.,0
I'd like to close my credit card account.,0
I'd like to close my credit card account.,0
My credit card is not working at international stores.,0
I have a billing issue with my credit card statement.,0
Can I convert my credit card dues to EMI?,0
My debit card expired. How do I get a new one?,1
I want to apply for a new credit card.,0
How do I check my credit card reward points?,0
Can I convert my credit card dues to EMI?,0
I need help activating my new credit card.,0
I'd like to close my credit card account.,0
How do I check my credit card reward points?,0
How do I update my address for the credit card?,0
Can you help me reissue my debit card? It got damaged.,1
"I need a new debit card, mine isn't working properly.",1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
How do I check my credit card reward points?,0
"I'd like to request a reissue of my debit card, please.",1
Can you send me a replacement debit card? The chip is not reading.,1
My debit card expired. How do I get a new one?,1
I'd like to close my credit card account.,0
How do I update my address for the credit card?,0
I need help activating my new credit card.,0
I'd like to close my credit card account.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
Can I convert my credit card dues to EMI?,0
I need help activating my new credit card.,0
"I'd like to request a reissue of my debit card, please.",1
Can you send me a replacement debit card? The chip is not reading.,1
"I'd like to request a reissue of my debit card, please.",1
My debit card expired. How do I get a new one?,1
"I need a new debit card, mine isn't working properly.",1
How do I update my address for the credit card?,0
Can you send me a replacement debit card? The chip is not reading.,1
I'd like to close my credit card account.,0
I want to reissue my debit card. It’s cracked.,1
Can I convert my credit card dues to EMI?,0
Can you increase the limit on my credit card?,0
Can you send me a replacement debit card? The chip is not reading.,1
My debit card expired. How do I get a new one?,1
I need help activating my new credit card.,0
I need to replace my debit card as it's been demagnetized.,1
"Hi, I lost my debit card and need a replacement.",1
There's an unauthorized transaction on my credit card.,0
My credit card is not working at international stores.,0
"I'd like to request a reissue of my debit card, please.",1
I need to replace my debit card as it's been demagnetized.,1
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can you increase the limit on my credit card?,0
How do I check my credit card reward points?,0
Can you help me reissue my debit card? It got damaged.,1
"I need a new debit card, mine isn't working properly.",1
I need to replace my debit card as it's been demagnetized.,1
"I'd like to request a reissue of my debit card, please.",1
I have a billing issue with my credit card statement.,0
Can you send me a replacement debit card? The chip is not reading.,1
I'd like to close my credit card account.,0
I need to replace my debit card as it's been demagnetized.,1
Can you help me reissue my debit card? It got damaged.,1
I need help activating my new credit card.,0
Can you send me a replacement debit card? The chip is not reading.,1
There's an unauthorized transaction on my credit card.,0
My credit card is not working at international stores.,0
I need to replace my debit card as it's been demagnetized.,1
Can I convert my credit card dues to EMI?,0
"Hi, I lost my debit card and need a replacement.",1
"Hi, I lost my debit card and need a replacement.",1
Can you send me a replacement debit card? The chip is not reading.,1
I want to reissue my debit card. It’s cracked.,1
Can you send me a replacement debit card? The chip is not reading.,1
I'd like to close my credit card account.,0
My credit card is not working at international stores.,0
I need help activating my new credit card.,0
"My debit card was stolen, I need a replacement.",1
"My debit card was stolen, I need a replacement.",1
I'd like to close my credit card account.,0
Can you send me a replacement debit card? The chip is not reading.,1
My credit card is not working at international stores.,0
I want to reissue my debit card. It’s cracked.,1
There's an unauthorized transaction on my credit card.,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
Can I convert my credit card dues to EMI?,0
There's an unauthorized transaction on my credit card.,0
How do I update my address for the credit card?,0
"Hi, I lost my debit card and need a replacement.",1
There's an unauthorized transaction on my credit card.,0
"I need a new debit card, mine isn't working properly.",1
"I need a new debit card, mine isn't working properly.",1
"Hi, I lost my debit card and need a replacement.",1
I need help activating my new credit card.,0
Can you help me reissue my debit card? It got damaged.,1
How do I update my address for the credit card?,0
"My debit card was stolen, I need a replacement.",1
"I need a new debit card, mine isn't working properly.",1
"My debit card was stolen, I need a replacement.",1
I'd like to close my credit card account.,0
I have a billing issue with my credit card statement.,0
Can you send me a replacement debit card? The chip is not reading.,1
I want to apply for a new credit card.,0
"My debit card was stolen, I need a replacement.",1
Can I convert my credit card dues to EMI?,0
I want to apply for a new credit card.,0
"I'd like to request a reissue of my debit card, please.",1
I'd like to close my credit card account.,0
Can I convert my credit card dues to EMI?,0
"I need a new debit card, mine isn't working properly.",1
My debit card expired. How do I get a new one?,1
Can you send me a replacement debit card? The chip is not reading.,1
"Hi, I lost my debit card and need a replacement.",1
I'd like to close my credit card account.,0
I need help activating my new credit card.,0
How do I update my address for the credit card?,0
I dropped my debit card somewhere and can't find it. Can you block it and send a new one?,1
My credit card is not working at international stores.,0
My debit card expired. How do I get a new one?,1
Can you help me reissue my debit card? It got damaged.,1
Can you help me reissue my debit card? It got damaged.,1
Can you help me reissue my debit card? It got damaged.,1
I want to reissue my debit card. It’s cracked.,1
I need to replace my debit card as it's been demagnetized.,1
Can you increase the limit on my credit card?,0
I'd like to close my credit card account.,0
My credit card is not working at international stores.,0
Can you send me a replacement debit card? The chip is not reading.,1
